JPM BAC WFC GS MS C SCHW BLK SPGI AXP JNJ PFE MRK ABBV UNH LLY TMO ABT BMY CVS XOM CVX COP SLB OXY KO PG PEP WMT HD MCD NKE DIS COST LOW BA CAT GE HON UPS RTX LMT MMM DE V MA IBM ORCL CSCO T VZ
209.25 39.55 54.51 485.39 99.84 59.29 63.84 904.52 494.21 265.40 167.07 29.83 118.29 193.45 577.96 906.18 610.49 118.13 49.49 57.83 114.18 143.41 108.29 41.50 52.06 71.80 175.88 176.87 78.60 383.24 293.75 80.64 92.86 897.27 256.72 156.39 353.69 180.33 201.89 130.65 118.73 567.01 133.57 397.88 291.56 500.99 214.13 167.47 50.61 21.78 44.08
207.53 39.62 54.26 484.58 99.30 59.90 63.56 922.71 491.50 262.18 166.15 29.75 118.64 192.94 580.65 904.97 610.12 114.88 49.74 58.42 114.58 143.96 108.62 41.42 51.75 71.75 173.92 175.21 79.03 384.01 292.03 80.90 93.58 892.52 256.63 155.11 355.12 183.55 199.32 130.65 118.04 565.49 133.36 401.07 288.48 494.76 214.94 164.53 50.57 21.73 43.88
210.48 40.87 55.80 503.83 100.73 63.02 64.76 934.87 495.95 268.75 164.82 29.66 117.23 193.62 577.07 915.04 620.25 114.15 49.02 58.40 116.00 144.99 110.55 42.75 52.03 70.62 171.54 174.66 78.04 390.34 293.85 80.98 93.45 900.74 261.00 154.59 373.31 186.16 201.35 132.13 118.82 565.18 133.84 409.73 285.24 493.01 213.89 167.59 51.44 21.36 43.94
211.09 40.27 56.29 498.43 102.47 62.14 65.39 928.79 495.43 268.99 164.16 29.42 117.17 193.47 575.00 921.49 613.69 113.70 49.41 57.51 115.27 145.68 109.87 42.41 51.64 71.64 174.22 171.18 79.06 389.86 296.83 86.52 93.75 906.98 260.14 153.29 368.82 187.43 201.01 128.60 118.15 571.92 134.77 405.89 284.77 492.74 217.70 168.00 51.97 21.54 44.33
211.44 39.87 55.11 497.41 102.47 62.58 64.93 937.61 492.98 267.30 163.22 29.31 115.63 193.83 573.41 918.52 610.35 114.81 50.01 57.57 117.36 147.54 109.69 42.90 52.24 71.73 173.77 172.11 80.33 391.96 299.06 86.20 92.97 917.08 262.29 156.30 371.17 188.67 201.42 128.74 120.27 580.51 135.64 408.95 288.63 497.14 220.50 165.95 52.19 21.49 44.26
211.59 39.45 54.16 498.02 102.58 61.37 64.58 941.23 490.17 266.21 162.78 29.50 114.96 193.51 575.19 924.43 611.88 113.34 50.94 58.08 117.05 147.45 108.91 42.98 52.40 71.33 173.24 169.92 80.67 400.66 300.27 87.46 93.69 901.54 266.04 155.81 385.93 189.66 202.90 129.52 120.04 578.63 137.22 410.89 272.78 487.41 220.97 165.80 52.52 21.59 44.66
210.19 39.25 53.61 491.14 102.34 60.38 64.04 936.80 487.06 266.17 160.60 28.93 114.73 191.26 576.31 924.56 599.78 112.61 49.95 58.64 114.77 143.97 105.73 41.81 51.12 71.45 172.26 169.40 81.40 396.93 300.47 88.00 93.92 908.42 264.97 152.22 378.25 189.33 204.40 131.51 120.90 577.94 136.60 406.93 269.63 489.45 221.23 166.28 52.65 21.56 44.55
209.78 39.52 56.39 496.92 104.60 61.71 63.84 945.02 484.11 268.15 161.39 28.97 113.09 191.90 574.81 909.32 619.33 112.73 50.12 59.01 112.80 141.99 102.31 41.17 49.91 71.40 173.21 169.69 79.92 396.70 303.65 89.39 95.20 901.44 265.61 154.58 390.96 184.59 204.64 133.33 120.32 577.40 139.44 411.47 271.69 491.27 223.43 168.10 52.85 21.65 44.62
210.50 39.40 55.90 498.51 104.11 61.87 64.42 945.21 485.07 271.06 161.40 29.09 113.69 194.79 581.85 877.79 614.42 112.43 50.91 61.38 115.82 145.49 104.72 42.29 51.03 71.79 173.55 170.00 79.78 399.53 303.69 89.44 96.01 885.62 267.14 156.32 391.08 185.38 205.24 134.26 120.39 582.36 137.30 418.00 275.17 493.64 220.84 168.74 53.02 21.90 44.89
210.86 39.68 56.49 495.11 104.24 62.60 64.81 949.51 488.76 271.20 162.06 28.94 113.56 197.48 584.68 885.94 618.57 114.01 51.74 62.88 117.22 147.27 105.28 41.95 51.54 71.86 173.20 170.05 80.75 405.20 304.51 88.40 96.19 886.52 270.85 152.04 391.12 188.58 204.33 136.34 121.16 584.56 136.70 417.33 274.95 493.80 221.08 170.40 53.22 22.00 44.91
207.04 39.22 55.39 490.17 104.42 61.81 63.91 934.02 484.60 268.60 161.99 28.67 114.74 196.96 583.30 884.48 612.94 113.56 52.90 61.54 119.93 149.70 109.37 43.14 53.25 71.71 173.04 171.38 81.27 409.05 302.98 89.13 94.05 877.38 272.64 154.22 392.39 186.30 203.69 133.27 124.39 605.86 137.06 416.44 277.60 496.38 219.35 167.16 52.74 22.13 45.21
207.29 39.23 55.30 491.99 104.52 62.03 63.35 957.25 486.95 270.92 161.17 28.61 112.08 196.82 592.31 891.07 612.72 113.64 53.76 62.24 121.52 150.95 110.36 43.94 53.44 71.01 171.92 169.55 80.43 411.26 303.76 83.10 94.15 878.53 271.86 152.89 394.05 186.44 201.53 133.01 124.04 603.20 135.43 416.49 277.00 495.57 219.73 167.71 52.62 22.19 45.05
